headline,source,label
Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,New York Times (News),left
"‘Bullets just came from nowhere’: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl",Chicago Tribune,center
Dozens of shootings across US mark bloody July 4th weekend,New York Post (News),right
Federal Government Will Run Out of Cash on Oct. 18 If Debt Ceiling Isn’t Raised: Treasury Secretary,The Epoch Times,right
Yellen tells Congress that U.S. will run out of debt ceiling flexibility on Oct. 18,Washington Post,left
Yellen warns lawmakers U.S. Treasury to hit debt limit Oct. 18,Reuters,center
Washed-Up Chris Christie Rips Into Hillary Clinton,Daily Beast,left
"Christie convicts Clinton, but was he 'guilty' of going too far?",Fox News (Online News),right
Anti-Clinton Republican National Convention Crowd Chants ‘Lock Her Up’,HuffPost,left
Biden admin to pharmacies: Refusing to fill contraception and abortion pill prescriptions could break federal law,Politico,left
"Pharmacies risk violating civil rights laws if they deny access to drugs that can be used for abortion, HHS says",CNBC,center
HHS warns pharmacies denying abortion pills violates anti-discrimination law,Washington Examiner,right
'One American flag flies': Pence defends barring pride flags on U.S. embassy flagpoles,NBC News (Online),left
Mike Pence says banning pride flags at US embassies is 'the right decision',USA TODAY,left
Pence confirms Trump administration denied US embassy requests to fly Pride flag,Fox News (Online News),right
"Trump tweets mock video of himself tackling, punching CNN logo",Reuters,center
"Trump Body Slams ""#FraudNewsCNN"" in His Latest Assault Tweet",Townhall,right
Trump Marks Independence Day Weekend With Fantasy About Beating Up Journalists,HuffPost,left
President Obama to vow: No nuclear Iran,Politico,left
Obama urges UN to reject 'violence and intolerance' amid Mideast unrest,Fox News (Online News),right
"'Time is not unlimited' on Iran, Obama to tell U.N.",CNN (Online News),left
"Biden says federal workers must be vaccinated or undergo regular testing, masks and social distancing",Fox News (Online News),right
"Biden announces measures to incentivize Covid-19 vaccinations, including a requirement for federal employees",CNN (Online News),left
"Biden sets broad new vaccine, mask guidelines for millions of federal workers",Reuters,center
Incoming Palestinian Harvard freshman has his visa REVOKED at Boston airport after he was 'questioned for five hours and officials found anti-US political social media posts by his friends',Daily Mail,right
A Palestinian Freshman Arrived in the U.S. to Study at Harvard. Immigration Officials Revoked His Visa and Deported Him.,Slate,left
Harvard freshman deported after officials review friends' social media posts: report,The Hill,center
Violence Escalates As Protests Over George Floyd Death Continue,NPR (Online News),left
Another night of fire and fury as protests rage across America,Washington Post,left
"Rioting, looting linked to George Floyd protests leaves trail of destruction across American cities",Fox News (Online News),right
"Trump, campaign aides sent email accessing WikiLeaks documents: Report",Washington Times,right
Email shows effort to give Trump campaign WikiLeaks documents,CNN (Online News),left
Wikileaks sent Trump private access and a decryption key to emails weeks before they were released,Daily Kos,left
‘Follow the money’: MSNBC contributor blows the lid off Trump’s personal stake in drug he’s pushing as COVID-19 cure,Raw Story,left
"Trump Has ‘Small,’ ‘Distant Link’ To Sanofi, French Drugmaker Of Hydroxychloroquine",Forbes,center
Trump’s personal stake in the malaria-drug maker Sanofi could be as small as $99,MarketWatch,center
"North Korea Denies Hack Involvement, Demands Probe",Newsmax (News),right
North Korea orders joint probe into Sony hacking,USA TODAY,left
Obama Vows a Response to Cyberattack on Sony,New York Times (News),left
Obama tells Ohioans he champions the middle,Washington Times,right
"Obama, Romney Duel On Economy In Ohio Where It Could All Be Decided Categories",NPR (Online News),left
