id,headline,wins,losses,ties,comparisons,uncertainty
1,Supreme Court Rules on Landmark Voting Rights Case Sources Say,0,1,0,1,1
2,Tech Giants Face Antitrust Scrutiny Sources Say,1,0,0,1,1
3,Deadly Shooting Highlights Gun Control Debate Sources Say,1,0,0,1,1
4,The Rise of Political Violence Threatens Democratic Norms (Updated),0,1,0,1,1
5,Tech Regulation Stalls as Industry Influence Grows Sources Say,0,1,0,1,1
6,Pentagon Papers for a New Era: Government Secrecy Examined as Tensions Rise,1,0,0,1,1
7,Biden's Border Crisis Reaches New Heights | Opinion,1,0,0,1,1
8,Global Supply Chain Disruptions Reshape the Economy Amid Growing Concerns,0,1,0,1,1
9,Biden's Border Crisis Reaches New Heights (Updated),0,0,1,1,1
10,Healthcare Reform Battle Heats Up in Congress in Latest Development,0,0,1,1,1
11,Global Democracy in Retreat as Authoritarianism Rises | Opinion,0,1,0,1,1
12,Voting Rights Act Protections Weakened by Court Rulings Amid Growing Concerns,1,0,0,1,1
13,Small Business Owners Crushed by New Regulations Amid Growing Concerns,0,1,0,1,1
14,Religious Liberty Under Siege From Radical Left,1,0,0,1,1
15,Biden's Border Crisis Reaches New Heights in Latest Development,1,0,0,1,1
16,Global Supply Chain Disruptions Reshape the Economy,0,1,0,1,1
17,Mental Health Crisis Among Young Americans Deepens (Updated),0,1,0,1,1
18,Second Amendment Rights Under Attack by Democrats - Report,1,0,0,1,1
19,Trump Administration Faces Backlash Over Immigration Policy Amid Growing Concerns,1,0,0,1,1
20,Energy Independence Sacrificed for Green New Deal Sources Say,0,1,0,1,1
21,Healthcare Reform Battle Heats Up in Congress | Opinion,1,0,0,1,1
22,Gun Violence Epidemic Sparks Renewed Calls for Action Sources Say,0,1,0,1,1
23,Trump Rally Draws Massive Crowds Across Nation Sources Say,1,0,0,1,1
24,Pentagon Papers for a New Era: Government Secrecy Examined Sources Say,0,1,0,1,1
25,Education Gaps Widen as Pandemic Disrupts Learning in Latest Development,0,1,0,1,1
26,How Gerrymandering Threatens Fair Representation as Tensions Rise,1,0,0,1,1
27,Pentagon Papers for a New Era: Government Secrecy Examined,0,1,0,1,1
28,Inflation Surge Threatens American Families - Report,1,0,0,1,1
29,COVID-19 Vaccine Rollout Faces Distribution Challenges | Opinion,0,1,0,1,1
30,How Misinformation Became a Public Health Crisis Amid Growing Concerns,1,0,0,1,1
31,The Filibuster Debate: What's Really at Stake as Tensions Rise,0,1,0,1,1
32,Deadly Shooting Highlights Gun Control Debate Amid Growing Concerns,1,0,0,1,1
33,Illegal Immigration Costs Taxpayers Billions | Opinion,1,0,0,1,1
34,Deadly Shooting Highlights Gun Control Debate | Opinion,0,1,0,1,1
35,Immigration Reform Remains Elusive Despite Bipartisan Support Amid Growing Concerns,0,1,0,1,1
36,Inflation Surge Threatens American Families (Updated),1,0,0,1,1
37,Experts Warn of Growing Inequality in America as Tensions Rise,0,1,0,1,1
38,Cancel Culture Claims Another Victim (Updated),1,0,0,1,1
39,Illegal Immigration Costs Taxpayers Billions,1,0,0,1,1
40,Americans Fed Up With Rising Gas Prices Under Biden in Latest Development,0,1,0,1,1
41,Experts Warn of Growing Inequality in America - Report,0,1,0,1,1
42,Tech Giants Face Antitrust Scrutiny as Tensions Rise,1,0,0,1,1
43,The Struggle for Affordable Housing in America's Cities Amid Growing Concerns,1,0,0,1,1
44,Fact Checker: Political Claims on Immigration Miss the Mark as Tensions Rise,0,1,0,1,1
45,Global Supply Chain Disruptions Reshape the Economy in Latest Development,0,1,0,1,1
46,Breaking: Climate Change Report Warns of Dire Consequences as Tensions Rise,1,0,0,1,1
47,Analysis: Democracy Faces Its Greatest Test in Decades | Opinion,1,0,0,1,1
48,A Reckoning on Race Forces America to Confront Its Past - Report,0,1,0,1,1
49,A Reckoning on Race Forces America to Confront Its Past Amid Growing Concerns,1,0,0,1,1
50,January 6 Committee Releases Damning Findings,0,1,0,1,1
51,Pentagon Papers for a New Era: Government Secrecy Examined (Updated),0,1,0,1,1
52,Global Democracy in Retreat as Authoritarianism Rises in Latest Development,1,0,0,1,1
53,Tech Regulation Stalls as Industry Influence Grows | Opinion,1,0,0,1,1
54,Parents Fight Back Against Critical Race Theory in Schools,0,1,0,1,1
55,Investigating the Roots of the January 6 Capitol Breach Amid Growing Concerns,1,0,0,1,1
56,Fact Checker: Political Claims on Immigration Miss the Mark Amid Growing Concerns,0,1,0,1,1
57,Gun Violence Epidemic Sparks Renewed Calls for Action (Updated),1,0,0,1,1
58,Climate Scientists Issue Urgent Warning on Tipping Points in Latest Development,0,1,0,1,1
59,How Gerrymandering Threatens Fair Representation | Opinion,0,1,0,1,1
60,Trump Administration Faces Backlash Over Immigration Policy in Latest Development,1,0,0,1,1
61,Overnight in Syria,0,0,1,1,1
62,Biden Receives COVID-19 Vaccine,0,0,1,1,1
63,Trump Hotels Charged Secret Service Up to 5 Times the Recommended Rate,1,0,0,1,1
64,Perspectives: Ranked-Choice Voting in NYC,0,1,0,1,1
65,DOJ Rejects McCabe's Appeal to Avoid Charges,1,0,0,1,1
